title,authors
A programmable array of silicon neurons for the control of legged locomotion,"Tenore, Etienne-Cummings, and Lewis. 2004."
Single-chip stereo imager,"Philipp and Etienne-Cummings. 2004. Analog Integrated Circuits and Signal Processing vol. 39, no. 3: 237-250."
Low power current rectifiers for large scale current-mode signal processing,Philipp and Etienne-Cummings. 2004.
Normal optical flow measurement on a CMOS APS imager,Mehta and Etienne-Cummings. 2004.
A focal plane normal-flow measurement chip,Mehta and Etienne-Cummings. 2004.
A time-series novelty detection chip for sonar,"Horiuchi and Etienne-Cummings. 2004. International Journal of Robotics and Automation vol. 19, no. 4: 171-177."
Linear current mode imager with low fix pattern noise,"Gruev, Etienne-Cummings, and Horiuchi. 2004."
A pipelined temporal difference imager,"Gruev and Etienne-Cummings. 2004. IEEE Journal of Solid-State Circuits vol. 39, no. 3: 538-543."
Active pixel sensor with on-chip normal flow computation on the read out,Grue and Etienne-Cummings. 2004.
"Second generation of high dynamic range, arbitrated digital imager",Culurciello and Etienne-Cummings. 2004.
Sensing signal input bearing to sensor array using velocity-sensitive spatiotemporal filters,"Clapp and Etienne-Cummings. 2004. Electronics Letters vol. 40, no. 3: 1."
Focal-plane analog image processing,"Clapp, Gruev, and Etienne-Cummings. 2004."
Bearing angle estimation for sonar micro-array using analog VLSI spatiotemporal processing,Clapp and Etienne-Cummings. 2004.
Entrainment of silicon central pattern generators for legged locomotory control,"Tenore, Etienne-Cummings, and Lewis. 2003."
Normal optical flow chip,Mehta and Etienne-Cummings. 2003.
Vision chip for navigating and controlling micro unmanned aerial vehicles,Massie et al. 2003.
"An in silico central pattern generator: silicon oscillator, coupling, entrainment, and physical computation","Lewis et al. 2003. Biological cybernetics vol. 88, no. 2: 137-151."
A time-series processor for sonar mapping and novelty detection,Horiuchi and Etienne-Cummings. 2003.
A vision chip for color segmentation and pattern matching,"Etienne-Cummings, Pouliquen, and Lewis. 2003. EURASIP Journal on Advances in Signal Processing vol. 2003, no. 7: 407169."
A biomorphic digital image sensor,"Culurciello, Etienne-Cummings, and Boahen. 2003. IEEE Journal of Solid-State Circuits vol. 38, no. 2: 281-294."
Biologically inspired vision sensors,"Van der Spiegel, Etienne-Cummings, and Nishimura. 2002."
Ultrasonic bearing estimation using a MEMS microphone array and spatiotemporal filters,Clapp and Etienne-Cummings. 2002.
Architecture for an aVLSI stereo vision system,Philipp et al. 2002.
Pipelined temporal difference imager,"Gruev and Etienne-Cummings. 2002. Electronics Letters vol. 38, no. 7: 315-317."
Implementation of steerable spatiotemporal image filters on the focal plane,"Gruev and Etienne-Cummings. 2002. IEEE Transactions on Circuits and Systems II: Analog and Digital Signal Processing vol. 49, no. 4: 233-244."
"Single chip for imaging, color segmentation, histogramming and pattern matching","Etienne-Cummings, Pouliquen, and Lewis. 2002."
A dual pixel-type array for imaging and motion centroid localization,"Clapp and Etienne-Cummings. 2002. IEEE sensors journal vol. 2, no. 6: 529-548."
"High dynamic range, arbitrated address event representation digital imager","Culurciellol, Etienne-Cummings, and Boahen. 2001."
Novel Real-Time Tremor Transduction Technique for Microsurgery,Tomlin et al. 2001.
Control of a robot leg with an adaptive aVLSI CPG chip,Lewis et al. 2001. Neurocomputing vol. 38.
Programmable spatial processing imager chip,"Gruev and Etienne-Cummings. 2001. Electronics Letters vol. 37, no. 11: 688-690."
High-resolution focal plane image processing,"Etienne-Cummings, Gruev, and Clapp. 2001."
High performance biomorphic image processing under tight space and power constraints,"Etienne-Cummings, Gruev, and Clapp. 2001. Autonomous Robots vol. 11, no. 3: 227-232."
Biologically inspired visual motion detection in VLSI,"Etienne-Cummings. 2001. International Journal of Computer Vision vol. 44, no. 3: 175-198."
Architecture for source localization with a linear ultrasonic array,Etienne-Cummings and Clapp. 2001.
A programmable focal-plane MIMD image processor chip,"Etienne-Cummings, Kalayjian, and Cai. 2001. IEEE Journal of Solid-State Circuits vol. 36, no. 1: 64-73."
A dual pixel-type imager for imaging and motion centroid localization,Clapp and Etienne-Cummings. 2001.
A programmable spatiotemporal image processor chip,Gruev and Etienne-Cummings. 2000.
Single-capacitor-single-contact active pixel sensor,Etienne-Cummings. 2000.
Toward biomorphic control using custom aVLSI CPG chips,Lewis et al. 2000.
